epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,945.641,1.43581,0.69193,1.28738,0.91519,0.96699,0.96109,0.54076,1.60451,0.64912,1.48213,0.000742625,0.000742625,0.000742625
43,967.291,1.45665,0.69816,1.28435,0.91603,0.97744,0.96774,0.52883,1.60177,0.65825,1.47634,0.00073025,0.00073025,0.00073025
44,988.697,1.43209,0.68381,1.27669,0.94204,0.94976,0.97532,0.55157,1.58078,0.61754,1.45499,0.000717875,0.000717875,0.000717875
45,1010.15,1.42436,0.67704,1.29559,0.97502,0.92265,0.96638,0.53486,1.61276,0.62823,1.48137,0.0007055,0.0007055,0.0007055
46,1031.7,1.42534,0.67766,1.29583,0.95768,0.95322,0.98044,0.50843,1.65203,0.63739,1.49325,0.000693125,0.000693125,0.000693125
47,1053.48,1.40641,0.65962,1.27112,0.93588,0.97475,0.96554,0.51895,1.62392,0.61345,1.48526,0.00068075,0.00068075,0.00068075
48,1074.88,1.41582,0.6809,1.28202,0.95928,0.95252,0.98045,0.53442,1.58796,0.60289,1.47328,0.000668375,0.000668375,0.000668375
49,1096.2,1.43618,0.66906,1.28032,0.93888,0.95097,0.96824,0.52921,1.58297,0.63329,1.4635,0.000656,0.000656,0.000656
50,1117.98,1.42589,0.65863,1.27667,0.97093,0.95097,0.97392,0.54783,1.65871,0.63248,1.48812,0.000643625,0.000643625,0.000643625
51,1139.35,1.39045,0.64395,1.25935,0.9726,0.96295,0.9783,0.54269,1.63449,0.59795,1.49588,0.00063125,0.00063125,0.00063125
52,1160.66,1.38562,0.64389,1.24857,0.97774,0.95535,0.96667,0.5364,1.58785,0.61622,1.47594,0.000618875,0.000618875,0.000618875
53,1181.82,1.40394,0.64883,1.25947,0.97475,0.96383,0.97506,0.53232,1.58495,0.6001,1.46911,0.0006065,0.0006065,0.0006065
54,1203.33,1.3965,0.64823,1.27456,0.93872,0.97328,0.9715,0.54188,1.59108,0.60354,1.45598,0.000594125,0.000594125,0.000594125
55,1224.73,1.36765,0.63601,1.26704,0.94826,0.94883,0.96686,0.53995,1.6106,0.61926,1.4944,0.00058175,0.00058175,0.00058175
56,1245.97,1.36799,0.63093,1.24949,0.92714,0.97802,0.97174,0.54531,1.61267,0.61349,1.49714,0.000569375,0.000569375,0.000569375
